region,timePeriod,V
6,149,1488157.5200235806
6,150,1490003.0794526367
6,151,1491857.062114728
6,152,1493716.9034803447
6,153,1495580.416861617
6,154,1497419.7912292914
6,155,1499234.775621624
7,1,0.0
7,2,896.311688215135
7,3,1705.3433464565103
7,4,2435.9662433524536
7,5,3096.140139785851
7,6,3693.0080327816722
7,7,4232.980876465769
7,8,4721.81336910833
7,9,5164.671772313079
7,10,5566.1946200697475
7,11,5930.547079806872
7,12,6261.469643167806
7,13,6561.01024049206
7,14,6832.278183479527
7,15,7078.068190229609
7,16,7300.89213120823
7,17,7503.007568180006
7,18,7686.443409994862
7,19,7853.022976404912
7,20,8004.384731678042
7,21,8142.0009233356095
7,22,8267.551774314687
7,23,8382.196885483985
7,24,8486.2510675175
7,25,8581.34988889193
7,26,8668.318664662836
7,27,8748.712944656078
7,28,8822.412096313908
7,29,8890.028406514939
7,30,8951.223238816197
7,31,9008.267338875306
7,32,9061.08270160721
7,33,9110.036641259067
7,34,9155.458681850701
7,35,9198.573768321885
7,36,9239.532992141663
7,37,9277.183790384015
7,38,9313.145116989179
7,39,9346.88014251377
7,40,9378.554956970718
7,41,9407.692079039256
7,42,9436.023960205162
7,43,9463.002166286913
7,44,9488.708709038023
7,45,9513.216714820757
7,46,9536.591294723035
7,47,9558.89032610004
7,48,9579.393005789088
7,49,9598.887661968205
7,50,9617.397897927858
7,51,9635.110466894315
7,52,9652.940175991525
7,53,9670.177449534225
7,54,9686.057537480394
7,55,9701.322079088064
7,56,9715.956119019793
7,57,9730.805852905009
7,58,9745.026773223737
7,59,9757.709014807015
7,60,9770.679007833733
7,61,9782.214288743815
7,62,9794.266507428825
7,63,9805.997678158728
7,64,9817.38117399837
7,65,9828.392195235832
7,66,9839.00755132773
7,67,9849.205463981434
7,68,9857.989452564045
7,69,9867.292895723545
7,70,9876.100915943782
7,71,9883.52282945619
7,72,9891.690953936408
7,73,9899.665183660743
7,74,9907.403435589616
7,75,9914.866888423538
7,76,9922.019616499814
7,77,9928.828259682294
7,78,9935.261725579534
7,79,9941.290920796066
7,80,9946.88850825338
7,81,9952.028687915692
7,82,9957.121772700124
7,83,9962.109446018187
7,84,9966.938219764923
7,85,9971.558908182507
7,86,9978.07361395843
7,87,9984.501224231219
7,88,9990.79046138785
7,89,9996.894251001342
7,90,10001.7688983071
7,91,10007.37612578052
7,92,10012.204753893899
7,93,10017.909950680118
7,94,10023.553890464997
7,95,10029.083175452804
7,96,10034.44881825556
7,97,10039.605760489643
7,98,10043.48174548575
7,99,10048.100732205754
7,100,10051.272937251219
7,101,10055.171524159905
7,102,10058.076284028737
7,103,10060.86166192212
7,104,10064.499933998552
7,105,10067.914452905507
7,106,10071.062596916967
7,107,10073.90485158269
7,108,10076.404454226466
7,109,10078.527073211106
7,110,10080.240518424996
7,111,10081.665122722767
7,112,10083.100985171239
7,113,10084.482571492485
7,114,10085.749787815279
7,115,10086.847390126284
7,116,10087.822966365144
7,117,10088.7104943653
7,118,10089.534245647477
7,119,10090.311567512874
7,120,10091.054866108958
7,121,10091.773020250766
7,122,10092.645466215474
7,123,10093.594423842875
7,124,10094.548852811275
7,125,10095.44373267356
7,126,10096.24896301845
7,127,10096.988229804325
7,128,10097.678680028192
7,129,10098.33275341359
7,130,10098.959495986548
7,131,10100.014867862215
7,132,10101.300587748905
7,133,10102.73433365825
7,134,10104.241073755535
7,135,10105.752293464704
7,136,10107.20529964352
7,137,10108.542594015287
7,138,10109.71130883194
7,139,10110.662698451917
7,140,10111.459234148846
7,141,10112.145326789856
7,142,10112.999515943822
7,143,10113.944843053627
7,144,10114.911051584688
7,145,10115.833872381201
7,146,10116.654380173833
7,147,10117.334518112586
7,148,10117.913635223917
7,149,10118.419880319958
7,150,10118.873404345477
7,151,10121.381889377923
7,152,10124.26339983865
7,153,10127.429110318852
7,154,10130.798376579944
7,155,10134.297879408188
8,1,0.0
8,2,13233.012147777
8,3,25151.66500245784
8,4,35889.20816010196
8,5,45565.2167448513
8,6,54287.03659522589
8,7,62151.0647086699
8,8,69243.8870852694
8,9,75642.52391456983
8,10,81417.15432614277
8,11,86631.20313301389
8,12,91341.11076778939
8,13,95597.5927185889
8,14,99446.23778879219
8,15,102928.027825708
8,16,106079.8043837457
8,17,108934.68784962883
8,18,111522.45394970624
8,19,113869.87202770426
8,20,116001.00901344726
8,21,117937.50258971297
8,22,119698.37006354643
8,23,121301.63351533051
8,24,122762.820005655
8,25,124096.16556462781
8,26,125314.44679877539
8,27,126429.134598158
8,28,127450.5306240301
8,29,128387.8887705328
8,30,129249.52345060377
8,31,130042.93172667049
8,32,130774.8194608658
8,33,131451.2646176787
8,34,132077.71783896413
8,35,132659.0702756778
8,36,133199.71325294807
8,37,133703.5909788587
8,38,134174.24727210458
8,39,134614.86710532542
8,40,135028.31362398062
8,41,135417.16119406113
8,42,135783.29461235533
8,43,136129.0038755349
8,44,136456.30446015336
8,45,136766.97707831982
8,46,137062.60018980582
8,47,137344.5768673994
8,48,137614.15721916407
8,49,137872.45727995722
8,50,138120.47506816796
8,51,138359.10434239605
8,52,138589.1654794033
8,53,138811.36852685432
8,54,139026.35337094145
8,55,139234.69680716013
8,56,139436.91889709127
8,57,139633.4886833022
8,58,139824.829327195
8,59,140011.32272808295
8,60,140193.31367588922
8,61,140371.113584571
8,62,140545.00384861382
8,63,140715.23886066483
8,64,140882.04872452846
8,65,141045.64169429132
8,66,141206.20636723607
8,67,141363.9136554101
8,68,141518.9185582033
8,69,141671.36175603184
8,70,141821.371043195
8,71,141969.0626161468
8,72,142114.0984024543
