fromRegion,toFacility,decisionPeriod,quantity
9,1,150,5000000.0
9,9,10,5000000.0
9,9,20,5000000.0
9,9,30,5000000.0
9,9,40,5000000.0
9,9,50,5000000.0
9,9,60,5000000.0
9,9,70,5000000.0
9,9,80,5000000.0
9,9,90,5000000.0
9,9,100,5000000.0
9,9,110,5000000.0
9,9,120,5000000.0
9,9,130,5000000.0
9,9,140,5000000.0
9,9,150,5000000.0
9,26,10,5000000.0
9,26,20,4999921.460972489
9,26,30,5000000.0
9,26,50,5000000.0
9,26,70,5000000.0
9,26,80,643.8468169500034
9,26,100,5000000.0
9,26,120,5000000.0
9,26,130,5000000.0
9,26,140,5000000.0
9,26,150,5000000.0
9,34,20,140.86109077192805
9,34,70,5000000.0
9,34,80,5000000.0
9,34,110,5000000.0
9,34,140,5000000.0
9,37,10,5000000.0
9,37,20,5000000.0
9,37,40,5000000.0
9,37,50,5000000.0
9,37,60,4999720.266412487
9,37,80,5000000.0
9,37,90,5000000.0
9,37,120,5000000.0
9,37,130,5000000.0
9,37,150,5000000.0
9,41,20,5000000.0
9,41,60,5000000.0
9,41,80,5000000.0
9,41,90,5000000.0
9,41,110,5000000.0
9,41,120,5000000.0
9,41,130,5000000.0
9,51,10,5000000.0
9,51,20,5000000.0
9,51,30,5000000.0
9,51,40,5000000.0
9,51,60,274.46299887727946
9,51,80,4999538.495096771
9,51,100,4999955.627601814
9,51,150,181.6989874895897
9,60,30,5000000.0
9,60,40,5000000.0
9,60,50,5000000.0
9,60,100,5000000.0
9,60,110,5000000.0
9,60,120,305.49205388176824
10,1,20,5000000.0
10,1,40,5000000.0
10,1,60,5000000.0
10,1,70,5000000.0
10,1,80,5000000.0
10,1,90,5000000.0
10,1,100,5000000.0
10,1,120,5000000.0
10,1,140,5000000.0
10,2,40,5000000.0
10,2,50,5000000.0
10,2,60,5000000.0
10,2,70,5000000.0
10,2,80,5000000.0
10,2,120,5000000.0
10,4,10,5000000.0
10,4,30,5000000.0
10,4,50,5000000.0
10,4,60,5000000.0
10,4,90,5000000.0
10,4,100,5000000.0
10,4,110,5000000.0
10,4,130,5000000.0
10,10,10,5000000.0
10,10,20,5000000.0
10,10,30,5000000.0
10,10,40,5000000.0
10,10,50,5000000.0
10,10,60,5000000.0
10,10,70,5000000.0
10,10,80,5000000.0
10,10,90,5000000.0
10,10,100,5000000.0
10,10,110,5000000.0
10,10,120,5000000.0
10,10,130,5000000.0
10,10,140,5000000.0
10,10,150,5000000.0
10,12,10,33.14019211731796
10,12,20,5000000.0
10,12,40,5000000.0
10,12,50,5000000.0
10,12,70,5000000.0
10,12,80,5000000.0
10,12,120,62.98926652081346
10,12,130,5000000.0
10,12,140,4999989.823643484
10,12,150,5000000.0
10,15,10,5000000.0
10,15,20,5000000.0
10,15,30,5000000.0
10,15,50,5000000.0
10,15,70,5000000.0
10,15,100,5000000.0
10,15,110,5000000.0
10,15,130,5000000.0
10,15,150,5000000.0
10,17,10,4998996.054563346
10,17,20,5000000.0
10,17,30,5000000.0
10,17,50,136.31370974831395
10,17,60,5000000.0
10,17,90,5000000.0
10,17,110,5000000.0
10,17,120,5000000.0
10,17,130,439.07569178125834
10,17,140,5000000.0
10,17,150,5000000.0
10,20,10,368.3233521608636
10,20,20,5000000.0
10,20,40,4999999.856959883
10,20,70,4999272.746633933
10,20,100,5000000.0
10,20,120,5000000.0
10,20,130,5000000.0
10,41,10,5000000.0
10,41,30,5000000.0
10,41,40,5000000.0
10,41,80,5000000.0
10,41,90,5000000.0
10,41,110,5000000.0
10,45,30,5000000.0
10,45,50,5000000.0
10,45,60,5000000.0
10,45,70,5000000.0
10,45,80,5000000.0
10,45,90,5000000.0
10,45,100,5000000.0
10,45,120,5000000.0
10,45,130,5000000.0
10,45,140,5000000.0
10,45,150,5000000.0
10,54,10,5000000.0
10,54,60,18.60148020527342
10,54,80,5000000.0
10,54,110,5000000.0
10,54,130,5000000.0
10,54,150,5000000.0
10,58,30,5000000.0
10,58,40,5000000.0
10,58,50,5000000.0
10,58,60,5000000.0
10,58,90,5000000.0
10,58,100,5000000.0
10,58,120,5000000.0
10,58,140,5000000.0
10,63,10,5000000.0
10,63,20,5000000.0
10,63,40,5000000.0
10,63,70,5000000.0
10,63,110,5000000.0
10,63,140,5000000.0
10,63,150,5000000.0
11,6,10,5000000.0
11,6,20,5000000.0
11,6,40,5000000.0
11,6,50,5000000.0
11,6,100,5000000.0
11,6,110,5000000.0
11,6,130,242.61931210570157
11,6,150,5000000.0
11,11,10,5000000.0
11,11,20,5000000.0
11,11,30,5000000.0
11,11,40,5000000.0
11,11,50,5000000.0
11,11,60,5000000.0
11,11,70,5000000.0
11,11,80,5000000.0
11,11,90,5000000.0
11,11,100,5000000.0
11,11,110,5000000.0
11,11,120,5000000.0
11,11,130,5000000.0
11,11,140,5000000.0
11,11,150,5000000.0
11,21,10,5000000.0
11,21,50,5000000.0
11,21,60,5000000.0
11,21,70,5000000.0
11,21,80,4999934.66210482
11,21,90,5000000.0
11,21,100,5000000.0
11,21,120,5000000.0
11,21,140,5000000.0
11,25,20,5000000.0
11,25,30,5000000.0
11,25,40,5000000.0
11,25,70,5000000.0
11,25,80,5000000.0
11,25,100,5000000.0
11,25,120,5000000.0
11,25,140,5000000.0
11,25,150,5000000.0
11,35,30,5000000.0
11,35,40,5000000.0
11,35,60,659.3011490497724
11,35,90,4999943.855339052
11,35,110,5000000.0
11,35,130,4999676.024507961
11,43,10,398.07277453881034
11,43,50,4999921.41699572
11,43,60,5000000.0
11,43,70,5000000.0
11,43,90,5000000.0
11,43,100,4999416.699173317
11,43,110,5000000.0
11,43,120,5000000.0
11,43,130,5000000.0
11,43,140,5000000.0
11,44,10,6.06699453571259
11,44,20,4999995.244046206
11,44,30,617.3506790780675
11,44,80,4999992.010529191
